real_steps,return,policy_loss,value_loss,entropy_loss,model_s_loss,model_r_loss,imag_p_loss,imag_v_loss,imag_e_loss
8123,15.0,-0.007144302595406771,23.118114471435547,-0.6925604343414307,1.2242692112825656e-05,2.2974312742007896e-05,-0.014235949143767357,2.1749446392059326,-0.6861236691474915
8147,24.0,-0.07422146946191788,54.05214309692383,-0.6845161318778992,8.46549119160045e-06,1.7086479905022618e-05,0.005464462097734213,1.932448387145996,-0.6839897036552429
8172,25.0,0.02280881069600582,57.681583404541016,-0.6804235577583313,1.1273697358168041e-05,1.9268523828941397e-05,0.0022803593892604113,2.0481176376342773,-0.6895202994346619
8205,33.0,-0.012551829218864441,87.76026153564453,-0.687823474407196,1.1072817869717255e-05,2.3626033604765933e-05,0.012917694635689259,1.7671135663986206,-0.6881158351898193
8237,32.0,0.011693526059389114,82.00711059570312,-0.6891736388206482,8.19657725514844e-06,1.2273179891053587e-05,0.0022754038218408823,1.9636346101760864,-0.6911537647247314
8252,15.0,-0.006145650986582041,24.35112953186035,-0.6890458464622498,1.0953348464681767e-05,1.5941971469146665e-05,0.0015623470535501838,1.8850938081741333,-0.6902493834495544
8273,21.0,-0.017750687897205353,45.15961456298828,-0.6861273050308228,1.0016342154510008e-05,2.227999721071683e-05,-0.004218043759465218,1.88861882686615,-0.6882166862487793
8292,19.0,0.009506937116384506,36.954524993896484,-0.6879063844680786,9.079275362940583e-06,1.762533550693964e-05,-0.0015292734606191516,2.1754024028778076,-0.6892522573471069
8307,15.0,-0.024378472939133644,24.099035263061523,-0.6921844482421875,9.861261484426601e-06,1.6521419335428316e-05,0.0028200321830809116,2.170083999633789,-0.691445529460907
8321,14.0,0.009427445009350777,20.74945068359375,-0.6921890377998352,1.0235388799628709e-05,2.23178922169609e-05,-0.01243535801768303,1.9995927810668945,-0.6884621381759644
8330,9.0,-0.05153051018714905,7.263360023498535,-0.6869914531707764,8.943896621834332e-06,1.732842702040216e-05,0.0014424194814637303,1.8635849952697754,-0.6873748898506165
8345,15.0,-0.024852313101291656,24.402345657348633,-0.6873025298118591,8.18319858808536e-06,1.2666004295169841e-05,0.019600553438067436,1.8816436529159546,-0.6862125992774963
8359,14.0,-0.03140975534915924,21.087539672851562,-0.6879886984825134,7.964493306644727e-06,1.673824893562899e-05,-0.0024725859984755516,1.8469874858856201,-0.6790382266044617
8371,12.0,-0.003365384181961417,15.333019256591797,-0.6711252331733704,9.365462271186212e-06,1.54984063556185e-05,0.031171688809990883,1.7970482110977173,-0.6816551089286804
8419,48.0,0.03330649435520172,123.30280303955078,-0.6754558682441711,8.599313484107066e-06,1.688780442539913e-05,0.0033192243427038193,1.8213917016983032,-0.6841174364089966
8454,35.0,0.027366772294044495,89.12342071533203,-0.6817992925643921,8.747548235987779e-06,1.6623180575455383e-05,0.009410963393747807,1.9296553134918213,-0.6859217882156372
8468,14.0,0.00814902689307928,19.793426513671875,-0.6873211860656738,9.157250133284833e-06,1.2735059802556256e-05,-0.005839687306433916,2.0453221797943115,-0.6905652284622192
8537,69.0,0.744841456413269,96.05083465576172,-0.6903253793716431,1.9377260590166163e-05,4.4631837226916105e-05,0.002104775048792362,1.9813334941864014,-0.6886245012283325
8563,26.0,-0.013735839165747166,63.83992004394531,-0.692409098148346,9.63741194937029e-06,1.4273703527578618e-05,-0.01233728975057602,1.9660717248916626,-0.6901487112045288
8586,23.0,-0.012217099778354168,51.48710250854492,-0.6921505928039551,9.302985138977723e-06,1.163928997508871e-05,-0.005551720969378948,1.7839651107788086,-0.6893885731697083
8601,15.0,-0.012046457268297672,24.062755584716797,-0.6923471689224243,1.1094557824738635e-05,1.6657459430765204e-05,0.007074832916259766,1.8947257995605469,-0.6895460486412048
8614,13.0,-0.008459384553134441,17.60316276550293,-0.6925274133682251,1.247174380599366e-05,1.572654370344632e-05,0.002368130022659898,1.7096716165542603,-0.6828597187995911
8627,13.0,-0.03915606811642647,17.28361701965332,-0.6858800649642944,1.1868034562212415e-05,2.050735050337001e-05,-0.017867598682641983,1.7933658361434937,-0.6861630082130432
8652,25.0,0.005337389186024666,58.53583526611328,-0.6914324164390564,9.55481088264302e-06,1.4493416225983916e-05,0.0048016211949288845,1.9300177097320557,-0.6828369498252869
8667,15.0,0.07372293621301651,24.271373748779297,-0.6759352087974548,1.1627735754397387e-05,1.7092547750507947e-05,0.004612738732248545,1.8121685981750488,-0.6818936467170715
8684,17.0,-0.00291480403393507,29.51629066467285,-0.6866800785064697,1.0373401892138645e-05,1.9597322534536943e-05,0.027188599109649658,2.0124363899230957,-0.6893571615219116
